signatuur,handle,manifest
BPL 3,https://hdl.handle.net/1887.1/item:939291,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:939291/manifest
BPL 14 A,https://hdl.handle.net/1887.1/item:1602664,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1602664/manifest
BPL 1291,https://hdl.handle.net/1887.1/item:1518587,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1518587/manifest
BPL 2473,https://hdl.handle.net/1887.1/item:880792,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:880792/manifest
BPL 2474,https://hdl.handle.net/1887.1/item:1525134,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1525134/manifest
BPL 2541,https://hdl.handle.net/1887.1/item:1525817,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1525817/manifest
LTK 194,https://hdl.handle.net/1887.1/item:1595455,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1595455/manifest
LTK 208,https://hdl.handle.net/1887.1/item:1596163,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1596163/manifest
LTK 219,https://hdl.handle.net/1887.1/item:1518381,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1518381/manifest
LTK 226,https://hdl.handle.net/1887.1/item:1517669,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1517669/manifest
LTK 261,https://hdl.handle.net/1887.1/item:1507840,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1507840/manifest
LTK 268,https://hdl.handle.net/1887.1/item:1517527,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1517527/manifest
LTK 294,https://hdl.handle.net/1887.1/item:1518192,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1518192/manifest
LTK 335,https://hdl.handle.net/1887.1/item:1517393,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1517393/manifest
LTK 356,https://hdl.handle.net/1887.1/item:1517967,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1517967/manifest
LTK 360,https://hdl.handle.net/1887.1/item:1526173,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1526173/manifest
LTK 854,https://hdl.handle.net/1887.1/item:1518680,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1518680/manifest
LTK 856,https://hdl.handle.net/1887.1/item:936120,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:936120/manifest
LTK 1019,https://hdl.handle.net/1887.1/item:877816,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:877816/manifest
LTK 1296,https://hdl.handle.net/1887.1/item:1518921,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1518921/manifest
LTK 1341,https://hdl.handle.net/1887.1/item:1601978,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1601978/manifest
LTK 1511,https://hdl.handle.net/1887.1/item:1508153,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1508153/manifest
LTK 1532,https://hdl.handle.net/1887.1/item:1507621,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1507621/manifest
LTK 2156,https://hdl.handle.net/1887.1/item:1517626,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1517626/manifest
LTK 2290,https://hdl.handle.net/1887.1/item:1517769,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1517769/manifest
BPL 25,https://hdl.handle.net/1887.1/item:1617684,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1617684/manifest
BPL 28,https://hdl.handle.net/1887.1/item:1652555,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1652555/manifest
BPL 43 A,https://hdl.handle.net/1887.1/item:1617735,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1617735/manifest
BPL 46,https://hdl.handle.net/1887.1/item:1618024,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1618024/manifest
BPL 52,https://hdl.handle.net/1887.1/item:1670301,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1670301/manifest
BPL 78,https://hdl.handle.net/1887.1/item:1667444,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1667444/manifest
BPL 85,https://hdl.handle.net/1887.1/item:1667479,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1667479/manifest
BPL 87,https://hdl.handle.net/1887.1/item:1667299,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1667299/manifest
BPL 141,https://hdl.handle.net/1887.1/item:1667735,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1667735/manifest
BPL 148,https://hdl.handle.net/1887.1/item:1616737,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1616737/manifest
BPL 177,https://hdl.handle.net/1887.1/item:1669264,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1669264/manifest
BPL 199,https://hdl.handle.net/1887.1/item:1617143,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1617143/manifest
BPL 1925,https://hdl.handle.net/1887.1/item:877637,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:877637/manifest
BPL 2011,https://hdl.handle.net/1887.1/item:1667894,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1667894/manifest
BUR Q 31,https://hdl.handle.net/1887.1/item:1617450,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1617450/manifest
GRO 20,https://hdl.handle.net/1887.1/item:1617131,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1617131/manifest
GRO 22,https://hdl.handle.net/1887.1/item:1668135,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1668135/manifest
LIP 30,https://hdl.handle.net/1887.1/item:1652048,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1652048/manifest
LIP 49,https://hdl.handle.net/1887.1/item:1670145,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1670145/manifest
PER F 25,https://hdl.handle.net/1887.1/item:1652122,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1652122/manifest
PER F 5,https://hdl.handle.net/1887.1/item:1668866,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1668866/manifest
PER Q 7,https://hdl.handle.net/1887.1/item:1669380,https://digitalcollections.universiteitleiden.nl/iiif_manifest/item:1669380/manifest
